parameter_group,id,norman_header,norman1,norman2,nor_variable,app_variable,convert,ep_schema,ep_table,ep_variable,epa3_variable,app_variable_name,,status,edi_table,id2,conversion,remark,example
Test organism,50,Reproductive condition of the control,organism_characteristics,,1,,,ecotox,tests,organism_characteristics,organism_characteristics,,,,,,,,
Test organism,51,Mortality in the control,control_neg_mortality,,1,,,,created,n.a.,n.a.,,,,,,,,
Test organism,52,Lipid %,lipid_pct_mean,,1,,,ecotox,results,lipid_pct_mean,lipid_pct_mean,,,,,,,,
Test organism,53,Age,organism_age_mean,,1,,,ecotox,tests,organism_age_mean,organism_age_mean,,,,,,,,
Test organism,54,Age unit,organism_age_unit,,1,,,ecotox,tests,organism_age_unit,organism_age_unit,,,,,,,,
Test organism,55,Life stage,organism_lifestage,,1,,,ecotox,tests,organism_lifestage,organism_lifestage,,,,,,,,
Test organism,56,Gender,organism_gender,,1,,,ecotox,tests,organism_gender,organism_gender,,,,,,,,
Test organism,57,Strain / Clone,organism_characteristics,,1,,,ecotox,tests,organism_characteristics,organism_characteristics,,,,,,,,
Test organism,58,"Source (laboratory, culture collection)",organism_source,,1,,,ecotox,tests,organism_source,organism_source,,,,,,,,
Test organism,59,Culture handling,culture_handling,,1,,,,created,n.a.,n.a.,,,,,,,,
Test organism,60,Acclimation,culture_acclimation,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,61,Nominal concentrations,,,1,,,,created,,,,,todo,,,,,
Dosing system,62,Measured (initial) concentration,conc_measured,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,63,Measured or nominal Concentration,chem_analysis_method,,1,,,ecotox,tests,chem_analysis_method,chem_analysis_method,,,,,,,,
Dosing system,64,Limit test,limit_test,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,65,Range finding study,range_finding_study,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,66,Analytical Matrix,analytical_matrix,,1,,,,created,chem_analysis_method,chem_analysis_method,,,,,,,,
Dosing system,67,Analytical schedule,analytical_schedule,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,68,Analytical method,analytical_method,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,69,Analytical recovery,analytical_recovery,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,70,Limit of quantification,loq,,1,,,,created,n.a.,n.a.,,,,,,,,
Dosing system,71,Exposure regime,exposure_type,,1,,,ecotox,tests,exposure_type,exposure_type,,,,,,,two vars coded in one,"S, AQUA – Nr, L"
Dosing system,72,Exposure duration,exposure_duration_mean,,1,,1,ecotox,tests,exposure_duration_mean,exposure_duration_mean,,,,,,,,
Dosing system,73,Exposure duration unit,exposure_duration_unit,,1,,1,ecotox,tests,exposure_duration_unit,exposure_duration_unit,,,todo (conversion),,,,,
Dosing system,74,Application frequency,application_freq_mean,,1,,,ecotox,tests,application_freq_mean,application_freq_mean,,,,,,,,
Dosing system,75,Application frequency unit,application_freq_unit,,1,,,ecotox,tests,application_freq_unit,application_freq_unit,,,,,,,,
Dosing system,76,Exposure route,application_type,,1,,,ecotox,tests,application_type,application_type,n.a.,,,,,,two vars coded in one,
